Time_(sec)	Note	Note_idx
109.44	La4b4	180
109.68	Sol4	182
109.90	Sol4	183
110.95	La4b4	184
111.27	Si4b1	185
111.83	Do5	186
112.67	Re5	187
113.26	Do5	188
113.44	Si4b1	189
113.93	Fa5#4	190
114.57	Mi5b4	191
114.78	Re5	192
115.18	Re5	193
117.03	Si4b1	194
117.66	Do5	195
118.06	Re5	196
118.23	Do5	197
118.47	Si4b1	198
118.81	Re5	199
120.64	Re5	200
120.93	Mi5b4	201
121.28	Fa5#4	202
121.83	Sol5	203
122.49	Fa5#4	204
123.45	Mi5b4	205
123.67	Re5	206
124.07	Fa5#4	207
124.86	Fa5#4	208
125.88	Mi5b4	209
126.20	Mi5b4	210
126.42	Fa5#4	211
126.96	Mi5b4	212
127.18	Re5	213
127.40	Re5	214
130.70	Re5	215
131.01	Mi5b4	216
131.28	Fa5#4	217
131.82	Sol5	218
132.50	Fa5#4	219
133.11	Fa5	220
133.72	La5	221
133.99	Sol5	222
134.32	Sol5	223
134.57	Fa5#4	224
135.01	Fa5#4	225
136.82	Fa5	226
137.56	Fa5	227
137.78	Re5	228
137.86	Re5	229
138.01	Fa5	230
138.35	Fa5#4	231
139.70	Fa5#4	232
141.04	Fa5	233
141.57	Fa5#4	234
142.21	Sol5	235
142.79	La5	236
143.43	Sol5	237
143.93	Fa5#4	238
144.75	Sol5	239
145.62	Do6	240
145.92	Si5b1	241
146.60	La5	242
147.04	La5	243
147.43	Sol5	244
147.65	Fa5#4	245
147.96	Mi5	246
148.23	Fa5#4	247
148.77	Sol5	248
149.48	Fa5#4	249
149.88	Sol5	250
150.75	La5	251
151.21	Si5b1	252
151.30	La5	253
151.47	Sol5	254
152.07	Sol5	255
153.99	Mi5	256
154.51	Re5	257
156.24	Do5	258
156.85	Si4b1	259
157.12	Do5	260
157.38	Si4b1	261
157.75	La4	262
158.04	Si4b1	263
158.67	Do5	264
159.30	Si4b1	265
159.96	Mi5	266
160.65	Re5	267
161.16	Do5	268
161.85	Si4b1	269
162.46	La4	270
162.70	Si4b1	271
163.09	Do5	272
163.43	Re5	273
163.55	Do5	274
163.84	Si4b1	275
164.44	Si4b1	276
165.27	La4	277
165.52	La4	278
166.06	Si4b1	279
166.26	La4	280
166.39	Sol4	281
166.78	Sol4	282
169.44	Sol4	283
170.14	Do5	284
171.17	Do5	285
171.68	Si4b1	286
171.93	Si4b1	287
172.86	La4	288
173.17	La4	289
173.41	Do5	290
173.59	Si4b1	291
174.02	La4	292
174.44	La4	293
176.27	Sol4	294
176.98	Fa4#4	295
178.13	Mi4	296
178.35	Re4	297
179.62	Re4	298
180.47	Mi4	299
180.79	Fa4#4	300
181.38	Sol4	301
182.02	Mi4	302
182.91	Fa4#4	303
183.13	Sol4	304
183.74	La4	305
184.30	Fa4#4	306
185.15	Sol4	307
185.37	La4	308
185.91	Si4b1	309
186.46	Do5	310
186.88	Si4b1	311
187.07	Do5	312
187.34	Mi5	313
187.71	Re5	314
188.17	Do5	315
188.69	Si4b1	316
188.94	Do5	317
189.21	Si4b1	318
189.53	La4	319
189.85	Si4b1	320
190.24	La4	321
190.43	Sol4	322
191.67	La4	323
192.17	Sol4	324
192.28	La4	325
192.72	Do5	326
193.36	Si4b1	327
194.23	Sol4	328
194.45	La4	329
195.06	Fa4#4	330
195.59	Sol4	331
197.96	Fa4#4	332
198.49	Mi4	333
198.86	Re4	334
199.23	Si4b1	335
199.89	La4	336
200.06	Sol4	337
200.28	Sol4	338
202.06	Mi5	339
202.39	Fa5#4	340
202.71	Sol5	341
205.38	Fa5#4	342
206.47	Sol5	343
207.59	Sol5	344
207.95	La5	345
208.71	Sol5	346
209.29	Sol5	348
209.90	Fa5#4	349
210.54	Mi5	350
210.97	Fa5#4	351
211.66	Sol5	352
212.37	Sol5	353
212.61	Fa5#4	354
213.08	Mi5	356
213.57	Re5	357
214.01	Mi5	358
214.64	Re5	359
215.89	Do5#4	360
216.48	Re5	361
217.14	Mi5	362
217.68	Sol5	363
218.19	Fa5#4	364
218.91	Mi5	365
219.37	Mi5	366
219.63	Re5	367
219.97	Do5#4	368
220.21	Si4	369
220.53	Do5#4	370
221.09	Re5	371
221.88	Do5#4	372
222.38	Re5	373
223.00	Mi5	374
223.61	Fa5#4	375
224.26	Re5	376
225.43	Mi5	377
225.61	Sol5	378
226.08	Fa5#4	379
226.26	Mi5	380
226.53	Mi5	381
229.17	Re5	382
229.99	Mi5	383
230.16	Fa5#4	384
230.77	Sol5	385
231.32	Fa5#4	386
232.22	Mi5	387
232.46	Re5	388
233.09	Si5b1	389
233.80	La5	390
234.45	Sol5	391
234.87	Fa5#4	392
235.30	Sol5	393
236.16	Fa5#4	394
236.59	Sol5	395
237.21	La5	396
237.55	Si5b1	397
237.67	La5	398
237.91	Sol5	399
238.23	Sol5	400
239.93	La5	401
240.74	Si5b1	402
241.30	Do6	403
242.01	Re6	404
242.62	Do6	405
243.43	Si5b1	406
244.71	Si5b1	407
245.00	La5	408
245.48	La5	409
247.08	La5	410
247.34	Sol5	411
247.56	Sol5	412
248.31	Si5b1	413
249.43	La5	414
249.75	Sol5	415
249.97	Sol5	416
252.49	Re5	417
253.09	Sol5	418
254.19	Fa5	419
254.48	Mi5	420
254.87	Re5	421
256.45	Do5	422
257.09	Si4b1	423
257.33	Do5	424
257.64	Si4b1	425
257.86	La4	426
258.26	Si4b1	427
258.69	Do5	428
259.26	Si4b1	429
260.18	Mi5	430
260.47	Re5	431
261.06	Do5	432
261.62	Si4b1	433
262.17	La4	434
262.37	Si4b1	435
262.68	Do5	436
263.15	Re5	437
263.27	Do5	438
263.46	Si4b1	439
264.01	Si4b1	440
264.70	La4	441
264.90	La4	442
265.13	Si4b1	443
265.47	La4	444
265.74	Sol4	445
266.04	Sol4	446
268.63	Sol4	447
269.19	Do5	448
270.27	Do5	449
270.56	Si4b1	450
270.84	Si4b1	451
272.01	La4	452
272.32	La4	453
272.58	Do5	454
272.94	Si4b1	455
273.19	La4	456
273.47	La4	457
275.08	Sol4	458
275.75	Fa4#4	459
276.57	Mi4	460
276.99	Re4	461
278.36	Re4	462
279.14	Mi4	463
279.43	Fa4#4	464
280.14	Sol4	465
280.63	Mi4	466
281.47	Fa4#4	467
281.80	Sol4	468
282.38	La4	469
283.09	Fa4#4	470
283.80	Sol4	471
284.06	La4	472
284.59	Si4b1	473
285.18	Do5	474
285.62	Si4b1	475
285.77	Do5	476
285.99	Mi5	477
286.35	Re5	478
286.91	Do5	479
287.35	Si4b1	480
287.59	Do5	481
287.91	Si4b1	482
288.17	La4	483
288.49	Si4b1	484
288.86	La4	485
289.12	Sol4	486
290.30	La4	487
290.78	Sol4	488
290.91	La4	489
291.41	Do5	490
292.12	Si4b1	491
293.05	Sol4	492
293.27	La4	493
293.88	Fa4#4	494
294.49	Sol4	495
296.80	Fa4#4	496
297.21	Mi4	497
297.58	Re4	498
298.02	Si4b1	499
298.68	La4	500
298.85	Sol4	501
299.14	Sol4	502
302.10	Sol4	503
303.06	Do5	504
303.38	Si4b1	505
304.09	La4	506
304.62	Sol4	507
305.25	Fa4#4	508
305.89	Mi4	509
306.42	Re4	510
307.08	Mi4	511
307.67	Fa4#4	512
308.41	Sol4	513
308.88	La4	514
309.59	Si4b1	515
310.46	La4	516
310.84	La4	517
311.11	Si4b1	518
311.48	La4	519
311.70	Sol4	520
312.03	Sol4	521
313.87	La4	522
314.60	Si4b1	523
315.01	La4	524
315.33	Si4b1	525
315.74	Do5	526
316.13	Si4b1	527
316.49	Do5	528
316.91	Re5	529
317.30	Do5	530
317.59	Re5	531
318.08	Mi5	532
318.44	Re5	533
318.68	Mi5	534
319.09	Fa5#4	535
319.46	Mi5	536
319.77	Fa5#4	537
320.22	Sol5	538
321.81	Re5	539
323.08	Sol5	540
323.59	Sol5	541
323.81	Fa5#4	542
323.97	Mi5	543
324.17	Fa5#4	544
325.30	Re5	545
325.73	Fa5#4	546
326.05	Mi5	547
326.25	Re5	548
326.40	Mi5	549
327.47	Do5	550
328.08	Re5	551
329.65	Si4b1	552
330.33	Do5	553
331.16	Si4b1	554
331.70	Fa5	555
332.09	Mi5	556
332.29	Re5	557
332.79	Re5	558
335.61	Do5	559
335.87	Re5	560
336.27	Do5	561
336.80	Re5	562
337.49	Mi5	563
338.02	Fa5	564
338.29	Sol5	565
338.68	Mi5	566
339.12	Re5	567
339.70	Re5	568
340.26	Do5	569
340.87	Do5	570
341.24	Re5	571
341.49	Mi5	572
341.82	Re5	573
342.05	Do5	574
342.39	Si4b1	575
342.63	La4#4	576
342.99	Si4b1	577
343.51	Do5	578
344.08	Si4b1	579
345.25	La4#4	580
345.83	Si4b1	581
346.32	Do5	582
346.90	Re5	583
347.49	Do5	584
348.02	Si4b1	585
348.53	Re5	586
349.02	Do5	587
349.18	Re5	588
349.50	Mi5	589
349.72	Re5	590
350.19	Do5	591
350.77	Do5	592
351.01	Si4b1	593
351.30	Si4b1	594
351.57	La4	595
351.91	La4	596
354.19	Sol4	597
354.71	La4	598
355.30	Si4b1	599
355.80	Do5	600
356.39	Si4b1	601
356.90	La4	602
357.51	Sol4	603
358.31	Mi5	604
358.68	Re5	605
359.19	Do5	606
359.80	Si4b1	607
360.38	La4	608
360.60	Si4b1	609
360.90	Do5	610
361.31	Re5	611
361.46	Do5	612
361.67	Si4b1	613
361.89	Si4b1	614
362.80	La4	615
363.16	La4	616
363.48	Si4b1	617
363.80	La4	618
364.01	Sol4	619
364.23	Sol4	620
366.71	Sol4	621
367.40	Do5	622
368.70	Do5	623
369.07	Si4b1	624
369.28	Si4b1	625
370.28	La4	626
370.58	La4	627
370.82	Do5	628
371.11	Si4b1	629
371.38	La4	630
371.64	La4	631
373.43	Sol4	632
374.09	Fa4#4	633
374.84	Mi4	634
375.18	Re4	635
376.43	Re4	636
377.27	Mi4	637
377.52	Fa4#4	638
378.15	Sol4	639
378.79	Mi4	640
379.51	Fa4#4	641
379.88	Sol4	642
380.47	La4	643
381.04	Fa4#4	644
381.88	Sol4	645
382.10	La4	646
382.68	Si4b1	647
383.27	Do5	648
383.62	Si4b1	649
383.77	Do5	650
384.12	Mi5	651
384.42	Re5	652
384.88	Do5	653
385.58	Si4b1	654
385.77	Do5	655
386.01	Si4b1	656
386.33	La4	657
386.65	Si4b1	658
387.06	La4	659
387.28	Sol4	660
388.46	La4	661
388.77	Sol4	662
389.01	La4	663
389.50	Do5	664
390.21	Si4b1	665
391.11	Sol4	666
391.33	La4	667
391.89	Fa4#4	668
392.50	Sol4	669
394.91	Fa4#4	670
395.37	Mi4	671
395.81	Re4	672
396.21	Si4b1	673
397.09	La4	674
397.36	Sol4	675
398.14	Sol4	676
